"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"29227","96.790589","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2635, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29254","96.893003","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2639, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29276","96.996783","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2643, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29296","97.097750","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2647, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29329","97.200139","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2655, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29356","97.302639","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2659, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29395","97.404949","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2663, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29422","97.508230","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-31 dBm","Beacon frame, SN=2667, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29440","97.609762","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-32 dBm","Beacon frame, SN=2671, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29461","97.712149","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-32 dBm","Beacon frame, SN=2675, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"29490","97.814577","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-32 dBm","Beacon frame, SN=2679, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
